symbol,corpCode,name,year,fiscal_date,currency,sector_group,sector_name,market_type,industry_code,industry_name,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue
033660,,우리금융캐피탈,2023,2023-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,12417338338803.0,10796683401988.0,1620654936815.0,127835672064.0,168456572458.0,1539592538024.0
034830,,한국토지신탁,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,642,신탁업 및 집합투자업,1886596466085.0,879258531337.0,1007337934748.0,-7659608662.0,31235368989.0,270086082704.0
041190,,우리기술투자,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,631426051287.0,110298372917.0,521127678370.0,121984148418.0,,170741464684.0
055550,,신한지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,691795333000000.0,635473468000000.0,56321865000000.0,4478000000000.0,6100850000000.0,
071050,,한국금융지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,95901185591112.0,87456133489762.0,8445052101350.0,708063414580.0,820404542965.0,20893370651649.0
086790,,하나금융지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,591925995000000.0,551744278000000.0,40181717000000.0,3468356000000.0,4693407000000.0,
100790,,미래에셋벤처투자,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,1109875107863.0,767518446401.0,342356661462.0,,31925038386.0,217046631995.0
105560,,KB금융,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,715738152000000.0,656864842000000.0,58873310000000.0,4563431000000.0,6435319000000.0,
123890,,한국자산신탁,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,642,신탁업 및 집합투자업,1480050024356.0,445001934727.0,1035048089629.0,129642234144.0,116706241689.0,259071620425.0
138040,,메리츠금융지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,102235842680189.0,92138657614258.0,10097185065931.0,2125376583433.0,2933502360678.0,58558358469900.0
139130,,DGB금융지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,93359783776425.0,87076229658301.0,6283554118124.0,412181438046.0,534254826716.0,
175330,,JB금융지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,63403970000000.0,58288020000000.0,5115950000000.0,603924000000.0,799978000000.0,
246690,,TS인베스트먼트,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,642,신탁업 및 집합투자업,108835027414.0,18989846957.0,89845180457.0,11967082163.0,14300519265.0,26165566670.0
293580,,나우IB,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,148896523599.0,54915252346.0,93981271253.0,1939073177.0,2455449314.0,26697697608.0
316140,,우리금융지주,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,498004936000000.0,464607446000000.0,33397490000000.0,2626894000000.0,3499029000000.0,
000020,,동화약품,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,564972408621.0,157916042874.0,407056365747.0,28237045586.0,18775880121.0,361108562008.0
000040,,KR모터스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,319,그 외 기타 운송장비 제조업,138570416599.0,116165786012.0,22404630587.0,-21026668952.0,-17856852211.0,78406266627.0
000050,,경방,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,471,종합 소매업,1206860950940.0,468815407005.0,738045543935.0,-13452219151.0,,
000070,,삼양홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,5136660179005.0,2340123861992.0,2796536317013.0,227014034818.0,94802726814.0,3210853491794.0
000080,,하이트진로,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,111,알코올음료 제조업,3358347205530.0,2242471577188.0,1115875628342.0,35511119931.0,123919983380.0,2520181551629.0
000100,,유한양행,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,2814070521926.0,712337878463.0,2101732643463.0,134031517424.0,56759795062.0,1858983759666.0
000120,,CJ대한통운,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,493,도로 화물 운송업,9357587266747.0,5314491023876.0,4043096242871.0,242876054885.0,,
000140,,하이트진로홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,3979751148746.0,2874614630369.0,1105136518377.0,18315800358.0,138073290650.0,2506869281995.0
000150,,두산,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,28286808651585.0,17080070105878.0,11206738545707.0,272073643932.0,,
000180,,성창기업지주,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,769067174916.0,195769130917.0,573298043999.0,-24022292887.0,-16701274741.0,166253799305.0
000210,,DL,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,201,기초 화학물질 제조업,12119563559885.0,7586162395568.0,4533401164317.0,-120978168525.0,,
000220,,유유제약,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,198213526767.0,77857871884.0,120355654883.0,-5540581558.0,364537115.0,137209588673.0
000230,,일동홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,876999054796.0,707097204368.0,169901850428.0,-118787164570.0,-79561775827.0,638447517670.0
000240,,한국앤컴퍼니,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,4640995961705.0,624304502331.0,4016691459374.0,187234321156.0,256563452628.0,1089668057103.0
000250,,삼천당제약,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,212,의약품 제조업,408021822012.0,109561750075.0,298460071937.0,-4187753548.0,9559814333.0,192668515628.0
000270,,기아,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,80627826000000.0,34069591000000.0,46558235000000.0,8777817000000.0,,
000300,,대유플러스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,264,통신 및 방송 장비 제조업,74273121353.0,202256217483.0,-127983096130.0,-177163487018.0,-29945679316.0,32790275265.0
000320,,노루홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,1188823571530.0,495031925010.0,693791646520.0,51679439985.0,,
