symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,per_score,pbr_score,roe_score,debt_score,valuation_score
195990,00620558,에이비프로바이오,2025,2025-12-31,2026-06-18,1002.0,32600000000.0,74776905733.0,20748062660.0,54028843073.0,48919928977.0,9281936003.0,31922791800.0,0.67,0.6,90.54,38.4,25,20,25,25,95
196700,00864338,웹스,2025,2025-12-31,2026-06-18,1245.0,17900000000.0,73193836539.0,32837962788.0,40355873751.0,4104554464.0,5549636981.0,43174599020.0,4.36,0.44,10.17,81.37,25,25,20,25,95
198080,00876643,캐프,2025,2025-12-31,2026-06-18,2845.0,61300000000.0,221276788854.0,89669851344.0,131606937510.0,19466979034.0,24273352321.0,295201227543.0,3.15,0.47,14.79,68.13,25,25,20,25,95
200230,00608802,텔콘RF제약,2025,2025-12-31,2026-06-18,360.0,25700000000.0,156668061672.0,47849944311.0,108818117361.0,11431375552.0,718589452.0,43161795161.0,2.25,0.24,10.51,43.97,25,25,20,25,95
206400,01043853,베노티앤알,2025,2025-12-31,2026-06-18,967.0,36300000000.0,78940240228.0,7087644750.0,71852595478.0,24026574843.0,5361474305.0,4774718589.0,1.51,0.51,33.44,9.86,25,20,25,25,95
215200,01074862,메가스터디교육,2025,2025-12-31,2026-06-18,38250.0,396500000000.0,896212661192.0,375632585824.0,520580075368.0,92935243694.0,121019655273.0,884944540620.0,4.27,0.76,17.85,72.16,25,20,25,25,95
217270,01067808,넵튠,2025,2025-12-31,2026-06-18,2735.0,127800000000.0,359324163055.0,43373385016.0,315950778039.0,40603966106.0,2492318946.0,122530715081.0,3.15,0.4,12.85,13.73,25,25,20,25,95
226340,01098792,본느,2025,2025-12-31,2026-06-18,2235.0,18800000000.0,56337524230.0,20257783821.0,36079740409.0,15890992024.0,8329529377.0,46013164919.0,1.18,0.52,44.04,56.15,25,20,25,25,95
227840,01108099,현대코퍼레이션홀딩스,2025,2025-12-31,2026-06-18,11730.0,106800000000.0,407840840000.0,79928278000.0,327912562000.0,36164330000.0,,,2.95,0.33,11.03,24.37,25,25,20,25,95
227950,01105621,엔투텍,2025,2025-12-31,2026-06-18,1207.0,41700000000.0,149005304099.0,21295368275.0,127709935824.0,18963126197.0,9439321153.0,28763646487.0,2.2,0.33,14.85,16.67,25,25,20,25,95
239610,01011438,에이치엘사이언스,2025,2025-12-31,2026-06-18,5940.0,32000000000.0,85044689179.0,2274522424.0,82770166755.0,11949100121.0,11051574087.0,16705710069.0,2.68,0.39,14.44,2.75,25,25,20,25,95
240600,01085026,유진테크놀로지,2025,2025-12-31,2026-06-18,2910.0,20200000000.0,59265808340.0,20875012989.0,38390795351.0,7765171210.0,7784281141.0,28679627649.0,2.6,0.53,20.23,54.38,25,20,25,25,95
263700,01187148,케어랩스,2025,2025-12-31,2026-06-18,2065.0,40100000000.0,107430676919.0,32799460993.0,74631215926.0,19511556173.0,2876942728.0,,2.06,0.54,26.14,43.95,25,20,25,25,95
265560,00659976,영화테크,2025,2025-12-31,2026-06-18,7630.0,81600000000.0,118435399289.0,25714341100.0,92721058189.0,19041489175.0,18042145824.0,108613630588.0,4.29,0.88,20.54,27.73,25,20,25,25,95
276040,01290248,스코넥,2025,2025-12-31,2026-06-18,327.0,7100000000.0,20582534179.0,7381977364.0,13200556815.0,21856275545.0,12232805445.0,,0.32,0.54,165.57,55.92,25,20,25,25,95
278650,01189438,HLB바이오스텝,2025,2025-12-31,2026-06-18,3290.0,57400000000.0,155575364146.0,54638250766.0,100937113380.0,20255126405.0,8616559710.0,74050095463.0,2.83,0.57,20.07,54.13,25,20,25,25,95
284740,01267684,쿠쿠홈시스,2025,2025-12-31,2026-06-18,22400.0,502600000000.0,1580152868881.0,313829152805.0,1266323716076.0,134319541308.0,169362970577.0,1121342626136.0,3.74,0.4,10.61,24.78,25,25,20,25,95
289220,01264438,자이언트스텝,2025,2025-12-31,2026-06-18,1675.0,37400000000.0,69971423176.0,16408759023.0,53562664153.0,17591107936.0,18997198393.0,36726021382.0,2.13,0.7,32.84,30.63,25,20,25,25,95
301300,00403793,바이브컴퍼니,2025,2025-12-31,2026-06-18,1731.0,22800000000.0,65434273977.0,21947667355.0,43486606622.0,18427937888.0,3755320826.0,19009260214.0,1.24,0.52,42.38,50.47,25,20,25,25,95
304840,01118281,피플바이오,2025,2025-12-31,2026-06-18,978.0,23800000000.0,44571639934.0,15953576142.0,28618063792.0,16938501622.0,8377380014.0,2850535918.0,1.41,0.83,59.19,55.75,25,20,25,25,95
347770,01405390,핌스,2025,2025-12-31,2026-06-18,1043.0,23800000000.0,80907326307.0,35520972693.0,45386353614.0,8327087064.0,6113556216.0,63383012048.0,2.86,0.52,18.35,78.26,25,20,25,25,95
