,Symbol,Name,Industry,IndustryCode
2941,GNLN,Greenlane Holdings Inc Class A,식품 및 약품소매,543010
2942,TECTP,Tectonic Financial Inc PRF,은행,551010
2943,PCSA,Processa Pharmaceuticals Inc,제약,562010
2944,VCNX,Vaccinex Inc,생명과학 및 메디컬 리서치,562020
2945,JRSH,Jerash Holdings (US) Inc,섬유 및 의류,532020
2946,LMRKO,Landmark Infrastructure Partners LP PRF,부동산 운영 관리,601010
2947,CNET,ZW Data Action Technologies Inc,소프트웨어 및 IT서비스,572010
2948,CRKN,Crown Electrokinetics Corp.,건축 자재,512020
2949,SRTS,Sensus Healthcare Inc,헬스케어 장비 및 용품,561010
2950,WHLRD,Wheeler Real Estate Investment Trust Inc PRF,주택 및 상업용 리츠,601020
2951,HNNA,Hennessy Advisors Inc,투자은행 및 서비스,551020
2952,EDSA,Edesa Biotech Inc,생명과학 및 메디컬 리서치,562020
2953,UONEK,Urban One Inc Class D,미디어 및 출판,533020
2954,NETE,Net Element Inc,소프트웨어 및 IT서비스,572010
2955,ANPC,AnPac Bio-Medical Science Co Ltd ADR,생명과학 및 메디컬 리서치,562020
2956,AGBA,AGBA Acquisition Ltd,기타 금융업,556010
2957,BBGI,Beasley Broadcast Group Inc Class A,미디어 및 출판,533020
2958,AEZS,Aeterna Zentaris Inc,생명과학 및 메디컬 리서치,562020
2959,CPHC,Canterbury Park Holding Corp,호텔 및 엔터테인먼트,533010
2960,BRLI,Brilliant Acquisition Corp,기타 금융업,556010
2961,SONM,Sonim Technologies Inc,커뮤니케이션 및 네트워킹,571020
2962,MCADU,Mountain Crest Acquisition II Corp,기타 금융업,556010
2963,AZRX,AzurRx BioPharma Inc,제약,562010
2964,GOODN,Gladstone Commercial Corp PRF,주택 및 상업용 리츠,601020
2965,ALAC,Alberton Acquisition Corp,기타 금융업,556010
2966,BRQS,Borqs Technologies Inc,소프트웨어 및 IT서비스,572010
2967,DXYN,Dixie Group Inc Class A,가정용품,532040
2968,BLUWU,Blue Water Acquisition Corp,기타 금융업,556010
2969,CTHR,Charles & Colvard Ltd,섬유 및 의류,532020
2970,MGYR,Magyar Bancorp Inc,은행,551010
2971,MBOT,Microbot Medical Inc,생명과학 및 메디컬 리서치,562020
2972,MDGS,Medigus Ltd ADR,헬스케어 장비 및 용품,561010
2973,BCDA,BioCardia Inc,생명과학 및 메디컬 리서치,562020
2974,FOXWU,FoxWayne Enterprises Acquisition Corp,기타 금융업,556010
2975,OCFCP,OceanFirst Financial Corp ADR,은행,551010
2976,HWCC,Houston Wire & Cable Co,"건설장비 및 대형차, 기차, 배",521020
2977,ATHE,Alterity Therapeutics Ltd ADR,생명과학 및 메디컬 리서치,562020
2978,SSKN,STRATA Skin Sciences Inc,헬스케어 장비 및 용품,561010
2979,DOGZ,Dogness International Corp Class A,섬유 및 의류,532020
2980,SLGG,Super League Gaming  Inc.,소프트웨어 및 IT서비스,572010
2981,CHNR,China Natural Resources Inc,석유,501010
2982,GAINM,Gladstone Investment Corp PRF,다양한 금융서비스,555010
2983,PFMT,Performant Financial Corp,전문 및 상업 서비스,522030
2984,ENVB,Enveric Biosciences Inc,생명과학 및 메디컬 리서치,562020
2985,BOTJ,Bank of the James,은행,551010
2986,RAIL,FreightCar America Inc,"건설장비 및 대형차, 기차, 배",521020
2987,OBAS,Optibase Ltd,부동산 운영 관리,601010
2988,ASRV,Ameriserv Financial Inc,은행,551010
2989,MAYS,J.W. Mays Inc,부동산 운영 관리,601010
2990,BBI,Brickell Biotech Inc,생명과학 및 메디컬 리서치,562020
2991,RFIL,RF Industries Ltd,"건설장비 및 대형차, 기차, 배",521020
2992,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,562020
2993,SMID,Smith-Midland Corp,건축 자재,512020
2994,NBRV,Nabriva Therapeutics PLC,생명과학 및 메디컬 리서치,562020
2995,VISL,Vislink Technologies Inc,커뮤니케이션 및 네트워킹,571020
2996,GIFI,Gulf Island Fabrication Inc,오일 및 가스 장비 및 서비스,501030
2997,RWLK,Rewalk Robotics Ltd,헬스케어 장비 및 용품,561010
2998,CLPS,CLPS Inc,소프트웨어 및 IT서비스,572010
2999,AEHR,Aehr Test Systems,반도체 및 반도체 장비,571010
3000,CCNEP,CNB Financial Corp ADR,은행,551010
3001,RGLS,Regulus Therapeutics Inc,생명과학 및 메디컬 리서치,562020
3002,NXTD,NXT-ID Inc,전문 및 상업 서비스,522030
3003,CCLP,CSI Compressco LP Unit,오일 및 가스 장비 및 서비스,501030
3004,NGHCP,National General Holdings Corp PRF,보험,553010
3005,JUPW,Jupiter Wellness Inc,"개인, 가정 용품 및 서비스",542010
3006,AGBAU,AGBA Acquisition Ltd Unit,기타 금융업,556010
3007,BHAT,Blue Hat Interactive Entertainment Technology,레저 상품,532050
3008,ATIF,ATIF Holdings Ltd,전문 및 상업 서비스,522030
3009,BRLIU,Brilliant Acquisition Corp Unit,기타 금융업,556010
3010,PBLA,Panbela Therapeutics Inc,생명과학 및 메디컬 리서치,562020
3011,FUSB,First US Bancshares Inc,은행,551010
3012,LANDM,Gladstone Land Corp PRF,주택 및 상업용 리츠,601020
3013,BBIG,Vinco Ventures Inc,레저 상품,532050
3014,GRCY,Greencity Acquisition Corp,기타 금융업,556010
3015,FSEA,First Seacoast Bancorp,은행,551010
